"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 18 15:24:22 MSK 2020","Tue Aug 18 15:24:30 MSK 2020","8084","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldSuccessfulPurchaseOfTheTour","shouldSuccessfulPurchaseOfTheTour()",""
"failed","Tue Aug 18 15:23:56 MSK 2020","Tue Aug 18 15:24:13 MSK 2020","16982","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorBuyingTourIfCardDoesNotExist","shouldErrorBuyingTourIfCardDoesNotExist()",""
"failed","Tue Aug 18 15:24:39 MSK 2020","Tue Aug 18 15:24:45 MSK 2020","6505","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorIfAllFieldsAreLatinCharacter","shouldErrorIfAllFieldsAreLatinCharacter()",""
"passed","Tue Aug 18 15:24:13 MSK 2020","Tue Aug 18 15:24:16 MSK 2020","2642","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorIfFieldMonthEnterOneDigit","shouldErrorIfFieldMonthEnterOneDigit()",""
"failed","Tue Aug 18 15:24:45 MSK 2020","Tue Aug 18 15:24:52 MSK 2020","7093","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorIfAllFieldsAreSpecialCharacter","shouldErrorIfAllFieldsAreSpecialCharacter()",""
"passed","Tue Aug 18 15:24:52 MSK 2020","Tue Aug 18 15:24:55 MSK 2020","2405","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorIfFieldCardNumberEnterLess16Digit","shouldErrorIfFieldCardNumberEnterLess16Digit()",""
"failed","Tue Aug 18 15:24:55 MSK 2020","Tue Aug 18 15:25:01 MSK 2020","6348","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorIfAllFieldsAreCyrillicCharacters","shouldErrorIfAllFieldsAreCyrillicCharacters()",""
"failed","Tue Aug 18 15:23:44 MSK 2020","Tue Aug 18 15:23:56 MSK 2020","12876","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorPurchaseTour","shouldErrorPurchaseTour()",""
"failed","Tue Aug 18 15:24:16 MSK 2020","Tue Aug 18 15:24:22 MSK 2020","5907","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorIfAllFieldsAreEmpty","shouldErrorIfAllFieldsAreEmpty()",""
"passed","Tue Aug 18 15:24:30 MSK 2020","Tue Aug 18 15:24:39 MSK 2020","8786","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorIfFieldCardNumberEnterMore16Digit","shouldErrorIfFieldCardNumberEnterMore16Digit()",""
"failed","Tue Aug 18 15:23:28 MSK 2020","Tue Aug 18 15:23:39 MSK 2020","11286","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorIfEnterMonth00","shouldErrorIfEnterMonth00()",""
"passed","Tue Aug 18 15:23:40 MSK 2020","Tue Aug 18 15:23:44 MSK 2020","4009","","ru.netology.web.test.PayCardTest","","ru.netology.web.test.PayCardTest","shouldErrorIfEnterMonth13","shouldErrorIfEnterMonth13()",""
